iter	Passed	Remaining
354	310588	4063898
355	311432	4062624
356	312217	4060579
357	313065	4059358
358	313924	4058277
359	314720	4056396
360	315594	4055522
361	316551	4055711
362	317542	4056320
363	318549	4057136
364	319542	4057747
365	320420	4056903
366	321263	4055624
367	322294	4056705
368	323229	4056574
369	324280	4057888
370	325067	4055895
371	325846	4053814
372	326603	4051459
373	327423	4049895
374	328496	4051460
375	329448	4051515
376	330658	4054737
377	331640	4055135
378	333018	4060368
379	335130	4074475
380	336447	4078875
381	337502	4080064
382	339336	4090645
383	340428	4092238
384	341741	4096465
385	342950	4099410
386	343893	4099174
387	345452	4106256
388	346747	4110158
389	347577	4108548
390	348724	4110664
391	349607	4109672
392	350697	4111103
393	351830	4113022
394	352808	4113123
395	354324	4119471
396	355998	4127611
397	357587	4134714
398	358574	4134839
399	359459	4133779
400	361009	4140353
401	362574	4147055
402	363644	4148075
403	365312	4155880
404	366580	4159107
405	367590	4159390
406	369087	4165158
407	370265	4167298
408	371600	4171197
409	372499	4170177
410	373332	4168430
411	374471	4170088
412	375571	4171298
413	376747	4173343
414	378411	4180764
415	379550	4182351
416	380491	4181752
417	381520	4182119
418	383796	4196114
419	384837	4196558
420	385689	4194947
421	386590	4193861
422	387465	4192507
423	388508	4192954
424	389386	4191635
425	390301	4190700
426	391431	4192075
427	393312	4201456
428	394583	4204291
429	395783	4206350
430	396982	4208379
431	398385	4212557
432	400182	4220866
433	401233	4221275
434	402572	4224700
435	403796	4226893
436	405118	4230104
437	406918	4238268
438	408859	4247852
439	410070	4249825
440	411357	4252557
441	412752	4256390
442	414828	4267205
443	416605	4274893
444	417982	4278453
445	419155	4279895
446	420087	4278876
447	421577	4283523
448	423103	4288520
449	424682	4294013
450	426957	4306491
451	429061	4317195
452	431375	4329941
453	432627	4331989
454	433777	4333007
455	434886	4333606
456	435815	4332405
457	436855	4332307
458	438192	4335145
459	439390	4336594
460	440332	4335504
461	441669	4338304
462	442917	4340212
463	444307	4343492
464	446045	4350146
465	447487	4353881
466	448877	4357091
467	450377	4361345
468	451641	4363302
469	452815	4364367
470	453689	4362542
471	454617	4361242
472	455464	4359166
473	456479	4358706
474	457360	4356957
475	458184	4354678
476	458983	4352167
477	459818	4349994
478	460693	4348217
479	461730	4347962
480	462731	4347367
481	463591	4345448
482	464518	4344161
483	465541	4343774
484	466625	4343942
485	467752	4344511
486	468865	4344946
487	470030	4345851
488	470909	4344116
489	471958	4343945
490	472657	4340551
491	473406	4337635
492	474572	4338537
493	476721	4348392
494	479147	4360724
495	481090	4368608
496	482295	4369775
497	483849	4374079
498	485143	4376012
499	486439	4377956
500	487324	4376191
501	488268	4374965
502	489148	4373160
503	490227	4373137
504	491223	4372376
505	492257	4371944
506	493114	4369949
507	493874	4367090
508	494681	4364662
509	495720	4364288
510	496607	4362566
511	497786	4363410
512	499180	4366126
513	501107	4373479
514	502477	4375947
515	503598	4376234
516	504935	4378386
517	505930	4377568
518	507026	4377625
519	508166	4378051
520	509289	4378325
521	510266	4377341
522	511042	4374641
523	512059	4374002
524	513064	4373265
525	513859	4370737
526	514744	4368982
527	515683	4367684
528	516670	4366791
529	517693	4366210
530	518925	4367379
531	519803	4365567
532	521183	4367964
533	522597	4370641
534	523993	4373142
535	524897	4371530
536	525850	4370333
537	526859	4369606
538	528194	4371568
539	529452	4372882
540	530832	4375193
541	531958	4375409
542	533236	4376859
543	534470	4377940
544	535320	4375873
545	536168	4373802
